number_sta,date,precip
14066001,2018-06-28,0.2
14066001,2018-06-29,0.0
14066001,2018-06-30,0.0
14066001,2018-07-01,1.2
14066001,2018-07-02,0.0
14066001,2018-07-03,7.5
14066001,2018-07-04,0.2
14066001,2018-07-05,0.2
14066001,2018-07-06,0.0
14066001,2018-07-07,0.2
14066001,2018-07-08,0.0
14066001,2018-07-09,0.2
14066001,2018-07-10,0.0
14066001,2018-07-11,0.0
14066001,2018-07-12,0.0
14066001,2018-07-13,0.0
14066001,2018-07-14,0.0
14066001,2018-07-15,0.0
14066001,2018-07-16,0.2
14066001,2018-07-17,0.0
14066001,2018-07-18,0.0
14066001,2018-07-19,0.0
14066001,2018-07-20,4.800000000000001
14066001,2018-07-21,0.0
14066001,2018-07-22,0.2
14066001,2018-07-23,0.2
14066001,2018-07-24,0.0
14066001,2018-07-25,0.0
14066001,2018-07-26,0.0
14066001,2018-07-27,4.9
14066001,2018-07-28,0.4
14066001,2018-07-29,4.2
14066001,2018-07-30,0.2
14066001,2018-07-31,0.2
14066001,2018-08-01,0.0
14066001,2018-08-02,0.0
14066001,2018-08-03,0.0
14066001,2018-08-04,0.0
14066001,2018-08-05,0.2
14066001,2018-08-06,0.2
14066001,2018-08-07,0.4
14066001,2018-08-08,0.0
14066001,2018-08-09,7.5
14066001,2018-08-10,0.2
14066001,2018-08-11,0.2
14066001,2018-08-12,1.2000000000000002
14066001,2018-08-13,4.2
14066001,2018-08-14,0.2
14066001,2018-08-15,0.0
14066001,2018-08-16,10.1
14066001,2018-08-17,0.2
14066001,2018-08-18,0.0
14066001,2018-08-19,0.0
14066001,2018-08-20,0.0
14066001,2018-08-21,0.0
14066001,2018-08-22,0.0
14066001,2018-08-23,0.8
14066001,2018-08-24,6.800000000000001
14066001,2018-08-25,2.6
14066001,2018-08-26,0.4
14066001,2018-08-27,0.4
14066001,2018-08-28,0.4
14066001,2018-08-29,15.5
14066001,2018-08-30,0.2
14066001,2018-08-31,0.2
14066001,2018-09-01,0.0
14066001,2018-09-02,0.0
14066001,2018-09-03,0.2
14066001,2018-09-04,0.0
14066001,2018-09-05,0.6000000000000001
14066001,2018-09-06,0.0
14066001,2018-09-07,0.2
14066001,2018-09-08,0.2
14066001,2018-09-09,0.2
14066001,2018-09-10,0.2
