number_sta,date,ff
14066001,2018-06-01,2.36125
14066001,2018-06-02,2.1858333333333335
14066001,2018-06-03,3.3495833333333334
14066001,2018-06-04,7.037083333333333
14066001,2018-06-05,8.115416666666667
14066001,2018-06-06,5.5325
14066001,2018-06-07,1.4333333333333333
14066001,2018-06-08,2.61375
14066001,2018-06-09,3.4570833333333337
14066001,2018-06-10,2.82125
14066001,2018-06-11,6.433333333333334
14066001,2018-06-12,6.682083333333334
14066001,2018-06-13,2.305833333333333
14066001,2018-06-14,3.978333333333333
14066001,2018-06-15,2.8329166666666667
14066001,2018-06-16,3.7849999999999997
14066001,2018-06-17,4.104583333333333
14066001,2018-06-18,4.262083333333333
14066001,2018-06-19,2.5670833333333336
14066001,2018-06-20,1.7295833333333335
14066001,2018-06-21,5.319999999999999
14066001,2018-06-22,3.0908333333333333
14066001,2018-06-23,2.4004166666666666
14066001,2018-06-24,3.0670833333333336
14066001,2018-06-25,4.005416666666666
14066001,2018-06-26,5.015833333333333
14066001,2018-06-27,6.495833333333334
14066001,2018-06-28,7.322500000000001
14066001,2018-06-29,7.802499999999999
14066001,2018-06-30,6.645
14066001,2018-07-01,2.038333333333333
14066001,2018-07-02,3.930833333333333
14066001,2018-07-03,2.3275
14066001,2018-07-04,1.6441666666666668
14066001,2018-07-05,1.6675
14066001,2018-07-06,1.7966666666666666
14066001,2018-07-07,1.5933333333333333
14066001,2018-07-08,3.109583333333333
14066001,2018-07-09,1.9883333333333333
14066001,2018-07-10,5.345833333333333
14066001,2018-07-11,3.6179166666666664
14066001,2018-07-12,4.222916666666666
14066001,2018-07-13,3.0741666666666663
14066001,2018-07-14,2.4520833333333334
14066001,2018-07-15,2.2025
14066001,2018-07-16,2.1483333333333334
14066001,2018-07-17,2.3320833333333337
14066001,2018-07-18,3.527083333333333
14066001,2018-07-19,3.915833333333333
14066001,2018-07-20,2.5391666666666666
14066001,2018-07-21,2.83
14066001,2018-07-22,2.018333333333333
14066001,2018-07-23,2.3954166666666667
14066001,2018-07-24,2.722083333333333
14066001,2018-07-25,2.8875
14066001,2018-07-26,2.32375
14066001,2018-07-27,1.8254166666666667
14066001,2018-07-28,5.0841666666666665
14066001,2018-07-29,5.764166666666667
14066001,2018-07-30,5.245833333333334
14066001,2018-07-31,3.1679166666666663
14066001,2018-08-01,2.728333333333333
14066001,2018-08-02,2.7175000000000002
14066001,2018-08-03,2.580833333333333
14066001,2018-08-04,2.797083333333333
14066001,2018-08-05,3.910416666666667
14066001,2018-08-06,2.012916666666667
14066001,2018-08-07,3.555
14066001,2018-08-08,3.5051948051948054
14066001,2018-08-09,5.117916666666667
14066001,2018-08-10,5.795833333333333
14066001,2018-08-11,2.455
14066001,2018-08-12,2.98625
14066001,2018-08-13,4.526666666666667
14066001,2018-08-14,3.9366666666666665
14066001,2018-08-15,2.765416666666667
14066001,2018-08-16,3.3670833333333334
14066001,2018-08-17,4.089583333333334
14066001,2018-08-18,3.341666666666667
14066001,2018-08-19,4.454166666666667
14066001,2018-08-20,2.962083333333333
14066001,2018-08-21,2.1090452261306534
14066001,2018-08-22,2.5704166666666666
14066001,2018-08-23,4.35625
14066001,2018-08-24,5.92
14066001,2018-08-25,3.9962500000000003
14066001,2018-08-26,5.862916666666666
14066001,2018-08-27,4.525416666666667
14066001,2018-08-28,3.72125
