number_sta,date,dd
14066001,2018-06-06,53.708333333333336
14066001,2018-06-07,150.66666666666666
14066001,2018-06-08,60.166666666666664
14066001,2018-06-09,72.375
14066001,2018-06-10,68.0
14066001,2018-06-11,44.708333333333336
14066001,2018-06-12,42.083333333333336
14066001,2018-06-13,60.291666666666664
14066001,2018-06-14,236.70833333333334
14066001,2018-06-15,287.9583333333333
14066001,2018-06-16,237.79166666666666
14066001,2018-06-17,225.66666666666666
14066001,2018-06-18,257.375
14066001,2018-06-19,197.125
14066001,2018-06-20,183.0
14066001,2018-06-21,164.83333333333334
14066001,2018-06-22,117.95833333333333
14066001,2018-06-23,138.79166666666666
14066001,2018-06-24,151.75
14066001,2018-06-25,60.25
14066001,2018-06-26,59.541666666666664
14066001,2018-06-27,58.791666666666664
14066001,2018-06-28,48.708333333333336
14066001,2018-06-29,47.041666666666664
14066001,2018-06-30,48.5
14066001,2018-07-01,199.66666666666666
14066001,2018-07-02,101.83333333333333
14066001,2018-07-03,154.625
14066001,2018-07-04,110.25
14066001,2018-07-05,270.25
14066001,2018-07-06,235.625
14066001,2018-07-07,275.0416666666667
14066001,2018-07-08,236.83333333333334
14066001,2018-07-09,112.04166666666667
14066001,2018-07-10,45.166666666666664
14066001,2018-07-11,45.458333333333336
14066001,2018-07-12,38.0
14066001,2018-07-13,78.83333333333333
14066001,2018-07-14,170.41666666666666
14066001,2018-07-15,304.4583333333333
14066001,2018-07-16,223.625
14066001,2018-07-17,195.91666666666666
14066001,2018-07-18,70.08333333333333
14066001,2018-07-19,151.54166666666666
14066001,2018-07-20,215.16666666666666
14066001,2018-07-21,287.0416666666667
14066001,2018-07-22,192.0
14066001,2018-07-23,149.375
14066001,2018-07-24,232.25
14066001,2018-07-25,259.0833333333333
14066001,2018-07-26,158.41666666666666
14066001,2018-07-27,190.54166666666666
14066001,2018-07-28,227.5
14066001,2018-07-29,190.45833333333334
14066001,2018-07-30,212.04166666666666
14066001,2018-07-31,141.29166666666666
14066001,2018-08-01,142.375
14066001,2018-08-02,100.625
14066001,2018-08-03,180.95833333333334
14066001,2018-08-04,265.875
14066001,2018-08-05,65.83333333333333
14066001,2018-08-06,216.91666666666666
14066001,2018-08-07,268.4583333333333
14066001,2018-08-08,161.08225108225108
14066001,2018-08-09,275.3333333333333
14066001,2018-08-10,227.08333333333334
14066001,2018-08-11,138.0
14066001,2018-08-12,199.45833333333334
14066001,2018-08-13,251.45833333333334
14066001,2018-08-14,268.6666666666667
14066001,2018-08-15,228.70833333333334
14066001,2018-08-16,249.16666666666666
14066001,2018-08-17,293.7083333333333
14066001,2018-08-18,234.5
14066001,2018-08-19,237.08333333333334
14066001,2018-08-20,290.25
14066001,2018-08-21,151.4070351758794
14066001,2018-08-22,288.2916666666667
14066001,2018-08-23,246.125
14066001,2018-08-24,266.0
14066001,2018-08-25,293.875
14066001,2018-08-26,199.5
14066001,2018-08-27,264.75
14066001,2018-08-28,123.79166666666667
